,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
31,2,4,0,3,1.3733082804376089,1.2762140510391864,0.0037298320573650994,0.05167884877130022,0.04003350987934286,0.7387231219521608,0.021696195869711568,1
21,2,4,0,3,1.394549718808142,1.4361298294686018,0.0017635812344324437,0.04066334615626517,0.015616938132831595,0.7219475098899795,0.02646599466540045,2
12,2,4,0,2,1.092446052105199,1.221959992154771,0.0013445428267258297,0.094602799069999,0.09497027939422635,0.7214944645937362,0.011660567260156013,3
4,2,4,0,3,1.7524734726898576,1.4129886805179925,0.0010897514496413896,0.01115513606504822,0.003956860158727779,0.7178062360943683,0.03051188458906844,4
49,2,4,0,2,1.6363053091691047,1.5003757079383049,0.00168677801442201,0.09903903510737401,0.003327819186433681,0.6949669515062291,0.03753260267828746,5
47,2,4,0,5,1.3786225463362687,1.3472706011464048,0.04384966593397554,0.026987436512573636,0.04060768664455192,0.689583461708195,0.03244740838676731,6
23,2,4,0,3,1.138102434485361,1.7262849802515445,0.0017572010193449247,0.008324759508879516,0.010210804864727351,0.6787413470221535,0.047230576578794155,7
10,2,4,0,2,1.9326152878803908,1.2427691534475165,0.0010381254156408013,0.006411303900416301,0.0032944950391094966,0.6777577082799768,0.02926044317787551,8
35,2,4,0,2,1.4328513749166418,1.0379770783719782,0.024870902090759973,0.0618127095641753,0.0717281249060105,0.6675990548168407,0.06709742713601022,9
42,2,4,0,4,1.34950526089819,1.8627047546840025,0.01232178697867336,0.02524781502800944,0.062455032865774134,0.654946993174934,0.02746642291600373,10
30,2,4,0,4,1.0802589116076757,1.617287359513611,0.003965208437044609,0.005397828080722015,0.007117455671040481,0.6512498100042509,0.07028918151552152,11
13,2,4,0,5,1.1744879587606074,1.7767990427497373,0.04237285049869069,0.08724188451735622,0.0015690464534622623,0.6355562229542807,0.14383869252369336,12
3,2,4,0,5,1.8251733703727249,1.2924994740953817,0.001750381969694927,0.014764963056700853,0.004238513121957955,0.6345903460616868,0.08601279265919572,13
7,2,4,0,2,1.5639975002511275,1.3637036253979742,0.013327350968259537,0.01387779898677436,0.049157847360083176,0.6317422202817379,0.07263943785329809,14
18,2,4,0,5,1.4489088131338845,1.84767185209956,0.010451635866105768,0.03539976099736961,0.0011237599058936214,0.6248461663491199,0.12168226605539262,15
29,2,4,0,5,1.1148564700131094,1.5793228658072813,0.008303602153101884,0.0364362139913329,0.02163881322651029,0.623022236039087,0.09997525766499064,16
32,2,4,0,3,1.7938813405123657,1.545517224577245,0.04519230207507116,0.07481218366796343,0.004890731371826987,0.6184355178083741,0.10087840947414305,17
26,2,4,0,4,1.4675362344267553,1.39509190061951,0.004533291238749022,0.0010191773806932833,0.008202913092385028,0.6153830279619251,0.08880713767560915,18
33,2,4,0,5,1.5666096628145487,1.0743713502372232,0.004783746650327365,0.0021983657523302535,0.01638857649396361,0.6136167192308373,0.06469307038725898,19
37,2,4,0,2,1.5731644369985887,1.2248663015726233,0.011153291568861691,0.009995308359160054,0.011331305602728237,0.6085887887075817,0.05646238676689922,20
20,2,4,0,2,1.748155979652561,1.6293857786885453,0.0021450646226219283,0.003601342541622217,0.0025729367625562955,0.6020325882833417,0.02947348987778264,21
25,2,4,0,5,1.664235233282756,1.2539298550368883,0.004903592165867939,0.011549664189931433,0.02621735454887417,0.6008415641928451,0.04204311076877189,22
24,2,4,0,4,1.1583645012309316,1.4256675005482553,0.0014017447701345114,0.0027238224314904635,0.015855791315762993,0.5937126498645675,0.061767472977340705,23
46,2,4,0,3,1.6499845992922144,1.4771384625080919,0.01795140225462128,0.03669717205079638,0.005328238883507852,0.5920247482649801,0.07731248871378775,24
