,degree,num_knots,lambda_df_diff,num_hidden_layers,layer_size_factor,output_size_factor,learning_rate,momentum,dropout_rate,mean_test_score,std_test_score,rank_test_score
10,2,3,0,2,1,1,0.01,0.01,0.01,0.5953074686940967,0.04651146458028788,1
1,2,2,-2,2,1,1,0.01,0.01,0.01,0.589634329656132,0.05519068410824673,2
3,2,4,-2,2,1,1,0.01,0.01,0.01,0.5887086314847942,0.04791508618766616,3
25,3,2,-1,2,1,1,0.01,0.01,0.01,0.5659486806797853,0.04262193486226139,4
32,3,1,1,2,1,1,0.01,0.01,0.01,0.5610442754919499,0.03832097882652889,5
22,3,3,-2,2,1,1,0.01,0.01,0.01,0.5605302126813754,0.06335244101100873,6
15,2,4,1,2,1,1,0.01,0.01,0.01,0.5598635957066189,0.07847320251793358,7
5,2,2,-1,2,1,1,0.01,0.01,0.01,0.559237167064202,0.03131502902366855,8
12,2,1,1,2,1,1,0.01,0.01,0.01,0.5585450208706023,0.04372598550444628,9
34,3,3,1,2,1,1,0.01,0.01,0.01,0.5576725551580203,0.045165000203977526,10
16,2,1,2,2,1,1,0.01,0.01,0.01,0.5505354924468296,0.06367362104465137,11
39,3,4,2,2,1,1,0.01,0.01,0.01,0.5454944345060625,0.040450456451350494,12
17,2,2,2,2,1,1,0.01,0.01,0.01,0.5441332488570861,0.046712861759071425,13
2,2,3,-2,2,1,1,0.01,0.01,0.01,0.5435061369509043,0.062013779654454315,14
36,3,1,2,2,1,1,0.01,0.01,0.01,0.5417106440071556,0.047188281886167936,15
7,2,4,-1,2,1,1,0.01,0.01,0.01,0.5399411772013516,0.03915966654540974,16
14,2,3,1,2,1,1,0.01,0.01,0.01,0.539682592923872,0.055813863414799554,17
9,2,2,0,2,1,1,0.01,0.01,0.01,0.53819860614192,0.05448420301638773,18
33,3,2,1,2,1,1,0.01,0.01,0.01,0.5370897932816538,0.0344789380347426,19
38,3,3,2,2,1,1,0.01,0.01,0.01,0.5350912467700258,0.03404216072974063,20
27,3,4,-1,2,1,1,0.01,0.01,0.01,0.5329303319419598,0.03438622322496196,21
29,3,2,0,2,1,1,0.01,0.01,0.01,0.5319273628503279,0.05078764515325595,22
11,2,4,0,2,1,1,0.01,0.01,0.01,0.5281359322202346,0.04061228075722073,23
13,2,2,1,2,1,1,0.01,0.01,0.01,0.5272845855694693,0.020612014348753656,24
20,3,1,-2,2,1,1,0.01,0.01,0.01,0.5230248086861459,0.033255570140476295,25
26,3,3,-1,2,1,1,0.01,0.01,0.01,0.5230192804611409,0.04478796315816156,26
30,3,3,0,2,1,1,0.01,0.01,0.01,0.5222304213873981,0.022685539395414813,27
21,3,2,-2,2,1,1,0.01,0.01,0.01,0.5176639833035181,0.02628315615161476,28
23,3,4,-2,2,1,1,0.01,0.01,0.01,0.5176062785728484,0.0340600420075979,29
18,2,3,2,2,1,1,0.01,0.01,0.01,0.5172873807394156,0.01744583757833415,30
24,3,1,-1,2,1,1,0.01,0.01,0.01,0.517225327966607,0.02790563631825888,31
37,3,2,2,2,1,1,0.01,0.01,0.01,0.517203463526138,0.015686679848223924,32
31,3,4,0,2,1,1,0.01,0.01,0.01,0.5128813854104551,0.011920921795512336,33
6,2,3,-1,2,1,1,0.01,0.01,0.01,0.5124725452196383,0.05513374894073046,34
19,2,4,2,2,1,1,0.01,0.01,0.01,0.5107194146292983,0.024859543865867334,35
28,3,1,0,2,1,1,0.01,0.01,0.01,0.5097865732458755,0.010685134609957656,36
4,2,1,-1,2,1,1,0.01,0.01,0.01,0.5081251863446632,0.06846206386496717,37
0,2,1,-2,2,1,1,0.01,0.01,0.01,0.5071623434704831,0.01126722927485459,38
8,2,1,0,2,1,1,0.01,0.01,0.01,0.500441947425959,0.01564364408998241,39
35,3,4,1,2,1,1,0.01,0.01,0.01,0.49975725501888285,0.03129417545780932,40
